+----------------------------------+--------------------------------------------------------------+---------+----------+----------+----------------------------------------------------------+------------------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                                                                     |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                                                                                             |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                                                                                           |
| *** ALSO ***                                                                                                                                                                                                                                                        |
| The server doesn't have a list of sub block and sub items                                                                                                                                                                                                           |
| (= items with different damage value or blocks with different metadata).                                                                                                                                                                                            |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                                                                                           |
+----------------------------------+--------------------------------------------------------------+---------+----------+----------+----------------------------------------------------------+------------------------------------------------------------------------+
| Mod name                         | Registry name                                                | Item ID | Meta/dmg | Subtypes | Display name                                             | Ore Dict keys                                                          |
+----------------------------------+--------------------------------------------------------------+---------+----------+----------+----------------------------------------------------------+------------------------------------------------------------------------+
| Alternating Flux                 | alternatingflux:connector                                    |    6448 |        0 |     true | AF Wire Relay                                            |                                                                        |
| Alternating Flux                 | alternatingflux:connector                                    |    6448 |        1 |     true | AF Transformer                                           |                                                                        |
| Alternating Flux                 | alternatingflux:material                                     |    6437 |        0 |     true | Constantan Wire                                          | wireConstantan                                                         |
| Alternating Flux                 | alternatingflux:wirecoil                                     |    6428 |        0 |     true | AF Wire Coil                                             |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:animal_farm                         |    4257 |        0 |    false | Animal Farm                                              |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:auto_crafting                       |    4265 |        0 |    false | Auto Crafting Station                                    |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:chunk_loader_deluxe                 |    4278 |        0 |    false | Deluxe Chunk Loader                                      |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:chunk_loader_simple                 |    4277 |        0 |    false | Simple Chunk Loader                                      |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:crop_farm                           |    4254 |        0 |    false | Crop Farm                                                |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:fish_farm                           |    4258 |        0 |    false | Fish Farm                                                |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:flywheel_controller                 |    4267 |        0 |     true | Light Flywheel Controller                                |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:flywheel_controller                 |    4267 |        1 |     true | Medium Flywheel Controller                               |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:flywheel_controller                 |    4267 |        2 |     true | Heavy Flywheel Controller                                |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:flywheel_storage                    |    4268 |        0 |     true | Light Flywheel Energy Storage                            |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:flywheel_storage                    |    4268 |        1 |     true | Medium Flywheel Energy Storage                           |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:flywheel_storage                    |    4268 |        2 |     true | Heavy Flywheel Energy Storage                            |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:fruit_farm                          |    4255 |        0 |    false | Fruit Farm                                               |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:hand_cranked_generator              |    4274 |        0 |    false | Hand Cranked Torque Generator                            |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:mailbox                             |    4266 |        0 |    false | Mailbox                                                  |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:mushroom_farm                       |    4256 |        0 |    false | Mushroom Farm                                            |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:quarry                              |    4252 |        0 |    false | Quarry                                                   |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:reed_farm                           |    4259 |        0 |    false | Reed Farm                                                |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:stirling_generator                  |    4272 |        0 |    false | Stirling Generator                                       |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:torque_distributor                  |    4271 |        0 |     true | Light Torque Distributor                                 |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:torque_distributor                  |    4271 |        1 |     true | Medium Torque Distributor                                |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:torque_distributor                  |    4271 |        2 |     true | Heavy Torque Distributor                                 |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:torque_junction                     |    4269 |        0 |     true | Light Torque Junction                                    |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:torque_junction                     |    4269 |        1 |     true | Medium Torque Junction                                   |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:torque_junction                     |    4269 |        2 |     true | Heavy Torque Junction                                    |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:torque_shaft                        |    4270 |        0 |     true | Light Torque Shaft                                       |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:torque_shaft                        |    4270 |        1 |     true | Medium Torque Shaft                                      |                                                                        |
| Ancient Warfare Automation       | ancientwarfareautomation:torque_shaft                        |    4270 |        2 |     true | Heavy Torque Shaft                                       |                                                                        |
